0H4A,EZJ,IAGl,JET2
100.0,100.0,100.0,100.0
89.06009244992296,96.08456859386995,88.2875475879819,95.29553679131485
95.14637904468412,102.17474753440028,96.2537310765161,107.59951749095296
84.97688751926039,104.59900785448532,96.43246528088079,109.28829915560915
95.76271186440678,110.44115041634677,104.24493735366136,116.76718938480097
103.4668721109399,108.76321384279217,102.47904341453824,114.17370325693608
105.46995377503852,102.73430579342113,101.56571163023467,125.81423401688782
112.17257318952234,108.14164648910412,109.02786466246046,141.978287092883
103.23574730354392,96.20858678320438,95.68714364868005,133.53437876960191
105.77812018489985,93.59829917911769,97.51023253319987,137.39445114595898
110.0924499229584,94.40663202031536,98.75064791149082,160.19300361881784
104.4684129429892,91.54756983405186,94.14824214910007,150.66344993968636
96.99537750385207,95.2762357526723,95.89090064165579,156.45355850422195
80.43143297380585,67.49542313825076,66.28536703068868,127.14113389626056
81.89522342064716,64.69837004665445,72.88780853992029,117.00844390832327
80.73959938366718,68.6758105474517,68.50882053298541,108.26296743063932
75.80893682588598,62.58563160692139,71.2077070188922,101.08564535585043
89.59938366718028,58.234660131104945,77.67788521689396,86.55006031363088
94.22187981510015,61.52852418354692,77.58851811471162,115.07840772014475
94.83821263482281,62.46087521407902,78.48218913653507,119.66224366706876
95.60862865947611,59.0429929723026,85.43494968632147,123.03980699638117
106.70261941448382,59.10500206696982,95.98026774383813,128.7092882991556
117.33436055469954,63.76601901612236,94.55039410892063,124.48733413751508
121.80277349768875,72.59124195358176,100.18052154640833,146.80337756332932
133.59013867488443,87.88017480659067,107.77672523190762,150.78407720144753
153.46687211093993,84.46229256481426,108.80444690700459,148.49215922798552
140.4468412942989,76.81745703655582,103.3083701227904,117.31001206272617
161.55624036979967,74.33192582531152,109.47470017337217,124.60796139927623
180.97072419106314,75.63706962735486,106.16811739262542,129.43305186972256
211.171032357473,83.21915785743813,113.67495397594239,144.75271411338963
222.41910631741143,87.38336384574498,109.62304956299486,169.2400482509047
