Date,Price,Company
2015-06-01,1301.6,EZJ
2015-05-01,1354.64,EZJ
2015-04-01,1526.39,EZJ
2015-03-01,1584.48,EZJ
2015-02-01,1458.19,EZJ
2015-01-01,1567.64,EZJ
2014-12-01,1406.84,EZJ
2014-11-01,1391.68,EZJ
2014-10-01,1262.87,EZJ
2014-09-01,1198.04,EZJ
2014-08-01,1123.95,EZJ
2014-07-01,1090.28,EZJ
2014-06-01,1149.21,EZJ
2014-05-01,1288.13,EZJ
2014-04-01,1378.21,EZJ
2014-03-01,1443.88,EZJ
2014-02-01,1448.93,EZJ
2014-01-01,1349.64,EZJ
2023-09-01,151.15,IAGl
2023-08-01,162.12,IAGl
2023-07-01,170.88,IAGl
2023-06-01,161.9,IAGl
2023-05-01,154.25,IAGl
2023-04-01,151.97,IAGl
2023-03-01,151.26,IAGl
2023-02-01,154.66,IAGl
2023-01-01,168.3,IAGl
2022-12-01,125.02,IAGl
2022-11-01,134.48,IAGl
2022-10-01,118.77,IAGl
2022-09-01,94.55,IAGl
2022-08-01,107.57,IAGl
2022-07-01,120.16,IAGl
2022-06-01,107.25,IAGl
2022-05-01,130.23,IAGl
2022-04-01,144.34,IAGl
2022-03-01,143.49,IAGl
2022-02-01,154.48,IAGl
2022-01-01,155.18,IAGl
2021-12-01,142.57,IAGl
2021-11-01,130.33,IAGl
2021-10-01,162.11,IAGl
2021-09-01,179.86,IAGl
2021-08-01,158.24,IAGl
2021-07-01,175.5,IAGl
2021-06-01,172.54,IAGl
2021-05-01,202.39,IAGl
2021-04-01,202.97,IAGl
2021-03-01,201.32,IAGl
2021-02-01,198.7,IAGl
2021-01-01,144.15,IAGl
2020-12-01,159.99,IAGl
2020-11-01,154.59,IAGl
2020-10-01,93.37,IAGl
2020-09-01,93.39,IAGl
2020-08-01,213.63,IAGl
2020-07-01,167.98,IAGl
2020-06-01,224.36,IAGl
2020-05-01,237.06,IAGl
2020-04-01,220.93,IAGl
2020-03-01,214.42,IAGl
2020-02-01,485.81,IAGl
2020-01-01,573.69,IAGl
2019-12-01,626.0,IAGl
2019-11-01,555.11,IAGl
2019-10-01,514.71,IAGl
2019-09-01,471.8,IAGl
2019-08-01,423.67,IAGl
2019-07-01,421.22,IAGl
2019-06-01,469.34,IAGl
2019-05-01,454.5,IAGl
2019-04-01,542.87,IAGl
2019-03-01,510.26,IAGl
2019-02-01,609.2,IAGl
2019-01-01,643.18,IAGl
2018-12-01,625.19,IAGl
2018-11-01,627.1,IAGl
2018-10-01,601.12,IAGl
2018-09-01,660.67,IAGl
2018-08-01,694.51,IAGl
2018-07-01,710.0,IAGl
2018-06-01,668.12,IAGl
2018-05-01,687.2,IAGl
2018-04-01,631.28,IAGl
2018-03-01,616.38,IAGl
2018-02-01,613.35,IAGl
2018-01-01,641.1,IAGl
2017-12-01,649.5,IAGl
2017-11-01,613.33,IAGl
2017-10-01,636.0,IAGl
2017-09-01,594.0,IAGl
2017-08-01,612.5,IAGl
2017-07-01,578.0,IAGl
2017-06-01,608.75,IAGl
2017-05-01,603.0,IAGl
2017-04-01,560.5,IAGl
2017-03-01,529.0,IAGl
2017-02-01,537.0,IAGl
2017-01-01,478.0,IAGl
2016-12-01,439.1,IAGl
2016-11-01,434.1,IAGl
2016-10-01,434.6,IAGl
2016-09-01,398.4,IAGl
2016-08-01,383.3,IAGl
2016-07-01,407.8,IAGl
2016-06-01,370.86,IAGl
2016-05-01,536.5,IAGl
2016-04-01,526.75,IAGl
2016-03-01,552.5,IAGl
2016-02-01,545.56,IAGl
2016-01-01,535.36,IAGl
2015-12-01,610.0,IAGl
2015-11-01,568.25,IAGl
2015-10-01,573.36,IAGl
2015-09-01,583.24,IAGl
2015-08-01,539.53,IAGl
2015-07-01,538.53,IAGl
2015-06-01,493.96,IAGl
2015-05-01,559.49,IAGl
2015-04-01,541.76,IAGl
2015-03-01,604.5,IAGl
2015-02-01,579.0,IAGl
2015-01-01,544.5,IAGl
2014-12-01,486.5,IAGl
2014-11-01,457.1,IAGl
2014-10-01,408.6,IAGl
2014-09-01,367.7,IAGl
2014-08-01,359.9,IAGl
2014-07-01,331.4,IAGl
2014-06-01,371.8,IAGl
2014-05-01,393.4,IAGl
2014-04-01,404.0,IAGl
2014-03-01,417.0,IAGl
2014-02-01,437.7,IAGl
2014-01-01,415.8,IAGl
2023-09-01,1093.0,JET2
2023-08-01,1055.0,JET2
2023-07-01,1124.0,JET2
2023-06-01,1246.0,JET2
2023-05-01,1196.0,JET2
2023-04-01,1226.0,JET2
