Date,Price,Open,High,Low,Vol.,Change %,Company
09/01/2023,7.97,8.26,8.43,5.57,,-3.63%,0H4A
08/01/2023,8.27,9.21,9.25,8.08,,-10.21%,0H4A
07/01/2023,9.21,9.41,9.59,8.61,,-2.13%,0H4A
06/01/2023,9.41,9.22,9.65,9.02,,3.18%,0H4A
05/01/2023,9.12,9.73,9.93,9.05,,-5.79%,0H4A
04/01/2023,9.68,10.28,10.48,9.36,,-5.84%,0H4A
03/01/2023,10.28,9.81,11.16,9.11,,4.79%,0H4A
02/01/2023,9.81,9.69,9.96,9.15,,1.55%,0H4A
01/01/2023,9.66,7.87,9.88,7.86,,24.01%,0H4A
12/01/2022,7.79,7.68,8.25,7.55,,2.10%,0H4A
11/01/2022,7.63,7.0,7.65,6.82,,9.78%,0H4A
10/01/2022,6.95,5.69,7.01,5.53,,17.80%,0H4A
09/01/2022,5.9,5.86,6.47,5.49,,-0.17%,0H4A
08/01/2022,5.91,6.01,6.88,5.83,,-1.66%,0H4A
07/01/2022,6.01,5.53,6.34,5.46,,8.29%,0H4A
06/01/2022,5.55,6.92,6.96,5.32,,-18.86%,0H4A
05/01/2022,6.84,7.17,7.42,6.48,,-4.34%,0H4A
04/01/2022,7.15,7.44,7.57,6.75,,-2.85%,0H4A
03/01/2022,7.36,6.94,7.67,5.26,,6.98%,0H4A
02/01/2022,6.88,6.82,7.92,6.62,,0.73%,0H4A
01/01/2022,6.83,6.8,7.34,6.45,,9.63%,0H4A
12/01/2021,6.23,5.51,6.46,5.44,,15.58%,0H4A
11/01/2021,5.39,5.73,7.13,5.26,,-5.77%,0H4A
10/01/2021,5.72,5.88,6.32,5.37,,-4.19%,0H4A
09/01/2021,5.97,8.59,9.08,5.83,,-29.27%,0H4A
08/01/2021,8.44,9.55,9.76,8.42,,-12.17%,0H4A
07/01/2021,9.61,9.59,10.32,9.21,,1.59%,0H4A
06/01/2021,9.46,10.8,11.25,9.21,,-11.01%,0H4A
05/01/2021,10.63,11.09,11.44,10.14,,-1.12%,0H4A
04/01/2021,10.75,11.37,11.71,10.02,,-5.20%,0H4A
03/01/2021,11.34,12.52,12.96,10.37,,-7.65%,0H4A
02/01/2021,12.28,10.74,12.53,10.44,,15.31%,0H4A
01/01/2021,10.65,10.81,11.21,9.46,,-3.36%,0H4A
12/01/2020,11.02,9.74,11.29,8.83,,12.68%,0H4A
11/01/2020,9.78,7.37,10.79,7.12,,32.70%,0H4A
10/01/2020,7.37,7.45,8.58,6.89,,0.55%,0H4A
09/01/2020,7.33,8.78,9.59,6.85,,-18.56%,0H4A
08/01/2020,9.0,7.51,9.22,7.22,,20.32%,0H4A
07/01/2020,7.48,8.79,9.26,7.48,,-16.33%,0H4A
06/01/2020,8.94,9.9,12.54,8.59,,-2.83%,0H4A
05/01/2020,9.2,8.16,10.07,7.12,,13.44%,0H4A
04/01/2020,8.11,8.41,9.40,7.02,,-5.37%,0H4A
03/01/2020,8.57,11.63,12.29,8.03,,-26.31%,0H4A
02/01/2020,11.63,13.84,15.46,11.53,,-16.03%,0H4A
01/01/2020,13.85,16.4,16.76,13.45,,-17.10%,0H4A
12/01/2019,16.71,17.47,17.63,16.19,,-2.69%,0H4A
11/01/2019,17.17,15.63,17.92,15.56,,10.06%,0H4A
10/01/2019,15.6,14.65,16.22,13.83,,6.81%,0H4A
09/01/2019,14.6,14.03,14.98,13.7,,4.36%,0H4A
08/01/2019,13.99,14.39,14.82,12.59,,-2.34%,0H4A
07/01/2019,14.33,15.1,15.57,14.05,,-4.72%,0H4A
06/01/2019,15.04,17.05,17.96,14.34,,-11.76%,0H4A
05/01/2019,17.05,21.61,21.93,16.81,,-20.59%,0H4A
04/01/2019,21.47,19.61,22.69,19.18,,9.88%,0H4A
03/01/2019,19.53,22.72,23.13,19.17,,-13.35%,0H4A
02/01/2019,22.55,22.17,23.75,21.61,,2.01%,0H4A
01/01/2019,22.1,20.0,22.48,19.23,,14.51%,0H4A
12/01/2018,19.3,21.86,21.86,18.71,,-10.38%,0H4A
11/01/2018,21.53,17.72,21.67,17.72,,21.00%,0H4A
10/01/2018,17.8,20.91,21.13,17.07,,-15.71%,0H4A
09/01/2018,21.11,22.42,23.53,1.0,,-6.07%,0H4A
08/01/2018,22.48,24.26,24.45,22.0,,-6.74%,0H4A
07/01/2018,24.1,20.24,24.19,19.82,,16.79%,0H4A
06/01/2018,20.64,23.2,24.16,20.33,,-11.49%,0H4A
05/01/2018,23.32,24.12,25.53,23.04,,-3.38%,0H4A
04/01/2018,24.14,25.75,27.27,23.7,,-18.14%,0H4A
12/01/2017,29.48,29.48,29.48,28.77,,2.12%,0H4A
11/01/2017,28.87,27.4,"2,594.75",26.29,,5.36%,0H4A
10/01/2017,27.41,23.64,27.67,23.64,,16.67%,0H4A
09/01/2017,23.49,21.21,23.68,21.18,,12.02%,0H4A
08/01/2017,20.97,17.96,21.07,17.96,,15.06%,0H4A
07/01/2017,18.23,19.92,21.15,18.19,,-8.53%,0H4A
06/01/2017,19.92,17.3,20.17,17.24,,14.87%,0H4A
05/01/2017,17.34,15.81,17.34,15.81,,9.71%,0H4A
04/01/2017,15.81,15.2,16.87,14.82,,3.81%,0H4A
03/01/2017,15.23,13.94,15.54,13.66,,9.92%,0H4A
02/01/2017,13.85,12.36,13.94,12.05,,11.60%,0H4A
01/01/2017,12.41,12.54,12.95,11.2,,0.85%,0H4A
12/01/2016,12.31,12.22,12.95,12.03,,0.70%,0H4A
11/01/2016,12.23,11.79,13.15,11.12,,5.12%,0H4A
10/01/2016,11.63,9.84,11.77,9.19,,18.17%,0H4A
09/01/2016,9.84,10.6,11.22,9.5,,-6.14%,0H4A
08/01/2016,10.48,10.7,11.03,10.25,,-1.32%,0H4A
07/01/2016,10.63,10.62,11.55,10.15,,1.82%,0H4A
06/01/2016,10.44,12.57,12.63,9.97,,-17.12%,0H4A
05/01/2016,12.59,13.72,13.84,12.24,,-7.15%,0H4A
04/01/2016,13.56,14.13,14.32,13.51,,-5.11%,0H4A
03/01/2016,14.29,13.84,15.36,13.76,,4.12%,0H4A
02/01/2016,13.73,13.55,13.93,11.88,,2.43%,0H4A
01/01/2016,13.4,14.27,15.33,13.23,,-8.00%,0H4A
12/01/2015,14.56,13.59,14.77,13.11,,6.43%,0H4A
11/01/2015,13.69,13.27,14.22,12.77,,1.90%,0H4A
10/01/2015,13.43,12.56,14.55,12.13,,8.09%,0H4A
09/01/2015,12.43,10.97,12.50,10.53,,12.65%,0H4A
08/01/2015,11.03,12.36,12.47,10.27,,-10.69%,0H4A
07/01/2015,12.35,11.66,13.15,11.34,,6.79%,0H4A
06/01/2015,11.56,12.85,12.85,11.4,,-10.94%,0H4A
05/01/2015,12.98,12.69,13.89,12.28,,4.72%,0H4A
