Date,Price,Open,High,Low,Vol.,Change %,Company
04/01/2023,497.60,512.80,533.00,481.00,58.61M,-4.01%,EZJ
03/01/2023,518.40,485.00,582.71,439.28,90.27M,6.58%,EZJ
02/01/2023,486.40,489.90,514.79,457.30,59.17M,-1.12%,EZJ
01/01/2023,491.90,328.50,522.40,326.30,104.64M,51.54%,EZJ
12/01/2022,324.60,397.50,404.00,320.50,51.83M,-17.00%,EZJ
11/01/2022,391.10,354.80,428.00,332.82,93.07M,12.26%,EZJ
10/01/2022,348.40,284.90,360.71,276.87,101.60M,17.54%,EZJ
09/01/2022,296.40,355.90,375.90,279.00,108.06M,-17.62%,EZJ
08/01/2022,359.80,403.00,429.93,352.68,74.47M,-9.91%,EZJ
07/01/2022,399.40,364.00,403.00,338.25,135.29M,8.95%,EZJ
06/01/2022,366.60,522.40,524.20,352.50,133.41M,-29.17%,EZJ
05/01/2022,517.60,557.20,573.20,468.10,119.08M,-7.74%,EZJ
04/01/2022,561.00,559.20,604.24,513.20,74.60M,0.79%,EZJ
03/01/2022,556.60,607.40,618.40,417.40,178.06M,-7.63%,EZJ
02/01/2022,602.60,628.80,729.20,584.33,127.46M,-2.59%,EZJ
01/01/2022,618.60,595.00,649.60,588.00,114.44M,11.26%,EZJ
12/01/2021,556.00,513.20,577.60,482.90,103.96M,11.98%,EZJ
11/01/2021,496.50,618.00,685.00,457.50,139.11M,-20.30%,EZJ
10/01/2021,623.00,658.83,717.61,575.76,137.51M,-6.00%,EZJ
09/01/2021,662.80,678.75,721.00,550.20,183.02M,-1.10%,EZJ
08/01/2021,670.16,718.83,730.44,654.00,55.80M,-5.93%,EZJ
07/01/2021,712.43,761.93,820.70,633.96,83.79M,-5.43%,EZJ
06/01/2021,753.34,839.39,862.12,734.48,85.21M,-11.10%,EZJ
05/01/2021,847.39,883.17,921.89,794.26,60.91M,-2.85%,EZJ
04/01/2021,872.22,833.49,884.02,770.52,72.29M,5.91%,EZJ
03/01/2021,823.56,846.12,895.37,745.26,88.66M,-0.75%,EZJ
02/01/2021,829.79,619.48,860.53,607.86,101.72M,35.31%,EZJ
01/01/2021,613.25,708.22,727.75,572.50,100.62M,-12.24%,EZJ
12/01/2020,698.79,689.70,798.98,564.40,91.50M,3.05%,EZJ
11/01/2020,678.08,415.57,718.49,386.47,132.37M,59.23%,EZJ
10/01/2020,425.84,429.38,469.45,385.43,86.73M,0.84%,EZJ
09/01/2020,422.30,527.71,554.82,395.95,98.86M,-20.78%,EZJ
08/01/2020,533.10,419.02,552.09,409.67,85.78M,28.39%,EZJ
